Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|01/27/2006|02/08/2005|12379.42|O|CHARTER MEDIA - REFUND OVERPAYMENT
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|01/27/2006|01/04/2005|170.81|O|ALLTEL REFUND
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|01/11/2005|12/27/2004|146.74|O|REDSTONE MEDIA - REFUND KMTV
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|01/11/2005|12/27/2004|299.2|O|REDSTONE MEDIA - REFUND KSTF
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|01/11/2005|12/27/2004|170.85|O|REDSTONE MEDIA - REFUND COX COMMUNICATIO
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|01/11/2005|12/27/2004|85.75|O|TIMEWARNER CABLE - REFUND OVER PYMT     
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|01/11/2005|12/09/2004|14.5|O|CHASE CTY CLERK-REFUND ABSENTEE NAME COL
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|01/11/2005|12/09/2004|609.82|O|US POSTMASTER-REFUND OF POSTAGE OVERPYMT
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|01/11/2005|11/08/2004|1191.01|O|GOODKIND-REFUND OF POSTAGE OVERPYMT     
YES ON AMENDMENT 3 (DISSOLVED)|99BQC00097|10/25/2004|09/30/2004|.3|C|REIMBURSEMENT TO CHRIS LONGLY - ADJ 1ST 
CITIZENS AGAINST A TOTAL BAN (DISSOLVED)|99BQC00098|01/11/2005|12/31/2004|.5|C|ACCOUNTING ERROR                        
CITIZENS FOR PUBLIC SAFETY (DISSOLVED)|99BQC00100|12/28/2005|12/16/2005|-2.5|O|WELLS FARGO BANK ACCOUNT FEES
CITIZENS FOR PUBLIC SAFETY (DISSOLVED)|99BQC00100|12/28/2005|11/17/2005|-5|O|WELLS FARGO BANK ACCOUNT FEES
CITIZENS FOR PUBLIC SAFETY (DISSOLVED)|99BQC00100|12/28/2005|11/08/2005|30|O|CONTRIBUTION RECEIVED FROM INDIVIDUAL
GNADT'S NPPD CAMPAIGN COMMITTEE (DISSOLVED)|99CAC00703|10/21/2004|05/13/2004|34.42|C|REFUND OF OVERPAYMENT TO KEARNEY HUB    
BRUCE LEAR FOR CITY COUNCIL|99CAC00706|10/29/2012|10/16/2012|1750.31|A|investment transferred back to bank acct
BRUCE LEAR FOR CITY COUNCIL|99CAC00706|01/25/2007|12/31/2006|1177.48|O|Transfer to Investment Account
THE COMMITTEE TO ELECT MARY SUE OFFERJOST|99CAC00707|01/12/2005|12/29/2004|-287.93|O|BALANCE OF CAMPAIGN CHECKING ACCOUNT RET
SLOBOTSKI FOR METRO BOARD COMMITTEE|99CAC00708|01/12/2005|01/10/2005|73.47|C|RETURN CONTRIBUTON  TO JEFF SLOBOTSKI   
FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)|99CAC00709|12/11/2008|10/24/2008|200|A|Refund of overpayment to Lois Headrick
FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)|99CAC00709|12/11/2008|05/13/2008|50|A|Phone purchase rebate from Verizon Wirel
FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008)|99CAC00709|01/30/2007|01/01/2006|6893.31|A|Prior period error correction See attach
ROBIN ESCHLIMAN FOR CITY COUNCIL|99CAC00712|01/05/2010|05/09/2009|100|A|event held-depst back in accnt. May 09 
ROBIN ESCHLIMAN FOR CITY COUNCIL|99CAC00712|01/05/2011|03/11/2010|100|A|check returned to Duane Acklie
LINCOLN LIAISON COMMITTEE (DISSOLVED 2005) |05BQC00104|05/06/2005|05/05/2005|86.91|A|CASHIERS CHECK TO AMERICAN HEART ASSOCIA
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/30/2014|09/20/2013|96|A|premium refund
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/15/2008|12/31/2007|106.99|A|Add back voided ck 1025 dtd 9-11-05
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/15/2008|12/31/2007|588.71|A|Add back voided ck 1468 dtd 10-25-06
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/15/2008|12/31/2007|1561.23|A|Add back voided ck 1555 dtd 12-22-06
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/15/2008|01/02/2007|.06|A|Clearing error on ck # 1544 dtd 12-22-06
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/15/2008|12/19/2007|.01|A|Clearing error on ck # 1919 dtd 12-13-07
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/10/2006|10/03/2006|12601.57|O|CORRECTION OF PRIOR PERIOD CASH BALANCE 
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/31/2006|11/15/2005|30|A|REBATE FOR COPIER
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/29/2010|12/30/2009|170|A|unidentifed variance
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/29/2010|12/31/2009|281471.4|A|redeem mature us bank cds
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/29/2010|12/29/2009|300|A|void/reissue check 2059
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/31/2006|10/17/2005|200|A|STATE FAIR DEPOSIT REFUND
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/31/2006|09/13/2005|50|A|REBATE FOR PRINTER
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/16/2007|11/29/2006|-399.95|O|CONTESTED BANK CHARGE
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/31/2006|12/14/2005|64|A|POSTMASTER CLOSED BOX IN GRAND ISLAND
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/31/2006|11/21/2005|176.41|A|QWEST REFUND GRAND ISLAND OFFICE
TOM OSBORNE FOR GOVERNOR |05CAC00727|03/07/2007|02/06/2007|60|A|refund from po box
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/13/2006|362|A|REPLACE CHECK TO AURORA NEWS
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/13/2006|330|A|CHECK TO AURORA NEWS VOIDED & REPAID 362
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/13/2006|500|A|SALE OF COMPUTER
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/13/2006|600|A|SALE OF COMPUTER, FAX, FURNITURE
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/13/2006|1200|A|SALE OF COMPUTER
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/13/2006|500|A|SALE OF COMPUTER
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/13/2006|1647.3|A|REFUND TV MEDIA BUYS - DAVID & ASSOCIATE
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/13/2006|66229.48|A|REFUND MEDIA BUYS - DAVID & ASSOCIATES
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/07/2006|17.36|A|REFUND NEWSPAPER SUBSCRIPTION
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/07/2006|5.36|A|REFUND NEWSPAPER SUBSCRIPTION
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/07/2006|100|A|SALE OF OFFICE DESK
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|06/07/2006|65|A|SALE OF PRINTER
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|05/31/2006|1000|A|RETURN CONTRIBUTION
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|05/31/2006|1000|A|RETURN CONTRIBUTION
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|05/31/2006|1000|A|RETURN CONTRIBUTION
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|05/31/2006|1000|A|RETURN CONTRIBUTION
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|05/31/2006|1000|A|RETURN CONTRIBUTION
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|05/31/2006|150|A|RETURN CONTRIBUTION
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|05/31/2006|1000|A|RETURN CONTRIBUTION
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|05/31/2006|22.5|A|RETURN CONTRIBUTION DESIGNATED GENERAL 
TOM OSBORNE FOR GOVERNOR |05CAC00727|06/19/2006|05/22/2006|740|A|SALE OF CAMPAIGN COMPUTER
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/31/2006|12/27/2005|89.78|A|ALLTEL REFUND (877) NUMBER
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/31/2006|12/16/2005|50|A|OFFICE MAX REBATE FOR PRINTER
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/31/2006|11/21/2005|56.49|A|ALLTEL REFUND GRAND ISLAND OFFICE
TOM OSBORNE FOR GOVERNOR |05CAC00727|05/01/2006|04/14/2006|20|A|REBATE FOR USB MEMORY CARD
TOM OSBORNE FOR GOVERNOR |05CAC00727|04/10/2006|01/26/2006|4.46|A|REFUND FROM ALLTEL
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|12/31/2006|1245|A|Outstanding checks-Credited back to acct
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|12/30/2006|122|A|Bank error-Credited to acct-Home Federal
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|12/12/2006|135|A|Sale of office furn-Lory Cappel, McCook 
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|12/12/2006|20|A|Purchase of furn-Lory Cappel, McCook NE
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|12/08/2006|200|A|Sale GI office furn-Barb Cooksley 
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|11/15/2006|908.84|A|Sale of computer-Scott McFall, Lincoln
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|10/02/2006|200|A|Sale of computer-Matt Hastings, Lincoln
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|10/02/2006|300|A|Sale of computers-Matt Hastings, Lincoln
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|09/12/2006|100|A|Sale of books-Pat Loontjer, Omaha, NE
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|09/07/2006|1880.29|A|Refund-media buys David & Asso, Hastings
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|08/28/2006|146.02|A|Refund-cell phones-Sprint, Kansas City, 
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|08/16/2006|348.35|A|Refund-Alltel phone close account
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|08/16/2006|76.55|A|Refund-Time Warner Cable
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|08/01/2006|193.7|A|Refund-phone service-QWest, Seattle WA
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|08/01/2006|328.27|A|Refund-media buys David & Asso, Hastings
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|07/17/2006|415|A|Sale of computers-Scott McFall, Lincoln 
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|07/11/2006|120|A|Sale of books-Pat Loontjer, Omaha, NE
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|07/11/2006|24814.16|A|Refund-media buys David & Asso, Hastings
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|06/25/2006|181.4|A|Refund-close BMR account-US Postmaster
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|06/25/2006|505.75|A|Refund-media buys David & Asso, Hastings
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|06/25/2006|4917.25|A|Refund-media buys David & Asso, Hastings
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|06/25/2006|5978.07|A|Refund-media buys David & Asso, Hastings
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|06/25/2006|995.38|A|Refund-media buys David & Asso, Hastings
TOM OSBORNE FOR GOVERNOR |05CAC00727|01/29/2007|06/25/2006|2314.43|A|Refund media buys David & Asso, Hastings
CITIZENS FOR BEUTLER |05CAC00724|02/02/2015|10/05/2014|100|A|Refund - Ashford for Congress
CITIZENS FOR BEUTLER |05CAC00724|01/31/2011|10/01/2010|1000|A|DONATION RETURNED
CITIZENS FOR BEUTLER |05CAC00724|01/31/2011|09/01/2010|1000|A|DONATION
CITIZENS FOR BEUTLER |05CAC00724|01/30/2008|08/03/2007|18.43|A|Refund from Time Warner Cable
GREG ADAMS FOR LEGISLATURE (DISSOLVED)|05CAC00729|10/10/2006|10/03/2006|-46.6|A|ADJ. FOR ERROR IN CASH EXPENDITURES
GREG ADAMS FOR LEGISLATURE (DISSOLVED)|05CAC00729|10/30/2006|10/23/2006|-250|A|RETURNED CONTRIBUTION
LEADERSHIP NEBRASKA|05CAC00731|01/29/2015|12/17/2014|2500|O|PAYMENT TO NON-PROFIT ORGANIZATION OF KNIGHTS OF AKSARBEN FOUNDATION.  PURPOSE WAS FOR SCHOLARSHIPS
LEADERSHIP NEBRASKA|05CAC00731|01/24/2014|04/04/2013|2500|O|One Room One Teacher - Contribution
TOM CARLSON FOR LEGISLATURE (DISSOLVED)|05CAC00733|02/19/2013|12/31/2012|4939.25|O|Repay back from NPTL - Unused Funds
CITIZENS FOR PUBLIC SAFETY (2005) (DISSOLVED)|05BQC00115|12/28/2005|12/16/2005|32.45|A|WELLS FARGO BANK FEES
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/31/2008|10/09/2007|4601|O|reverse deposit to correct error
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/31/2008|09/14/2007|4601|O|bank error deposit wrong account
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/31/2008|04/02/2007|4601|O|reverse deposit to correct error
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/31/2008|08/31/2007|257.1|O|candidate reimburse account
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/31/2008|08/17/2007|257.1|O|debit campaign account
SHANE OSBORN FOR STATE TREASURER|05CAC00738|06/19/2006|05/16/2006|166.74|A|CANDIDATE REIMBURSEMENT
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/31/2008|03/08/2007|4601|O|bank error wrong account
SHANE OSBORN FOR STATE TREASURER|05CAC00738|10/10/2006|06/14/2006|166.74|A|CANDIDATE OVERREIMBURSED
SHANE OSBORN FOR STATE TREASURER|05CAC00738|04/10/2006|01/05/2006|550|A|RETURNED DOUBLE PAYMENT JEFF NICOLA
WHITE FOR LEGISLATURE|05CAC00739|02/01/2016|12/15/2015|170|A|cancelled checks
CONRAD FOR LEGISLATURE(DISSOLVED)|05CAC00744|02/02/2015|02/02/2015|473.13|A|8/29/2018 Unclaimed prop refund - Paypal
CONRAD FOR LEGISLATURE(DISSOLVED)|05CAC00744|02/02/2015|01/30/2015|83.94|A|
CONRAD FOR LEGISLATURE(DISSOLVED)|05CAC00744|02/02/2012|01/10/2011|583.33|A|usps reimbursement
CONRAD FOR LEGISLATURE(DISSOLVED)|05CAC00744|01/31/2008|09/12/2007|500|A|returned contribution to ameritas
CONRAD FOR LEGISLATURE(DISSOLVED)|05CAC00744|01/31/2008|09/11/2007|500|A|returned lincoln firefighters pac
CONRAD FOR LEGISLATURE(DISSOLVED)|05CAC00744|01/31/2008|02/07/2007|802|A|returned ne state afl-cio 
CONRAD FOR LEGISLATURE(DISSOLVED)|05CAC00744|02/01/2010|09/15/2009|125|A|rebate on telephone purchased
CONRAD FOR LEGISLATURE(DISSOLVED)|05CAC00744|02/01/2010|12/31/2009|250|A|rec from medco health on 12-31-08
KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR)|05CAC00745|02/05/2008|03/07/2007|2572.19|O|returned to contributors
COMMITTEE TO ELECT KERRY WINTERER|05CAC00746|12/26/2007|12/20/2007|3560.63|A|Transfer- Winterer-State Board of Educ. 
RONALD A. RUFF FOR LEGISLATURE (DISSOLVED)|05CAC00748|07/20/2007|09/27/2006|16.22|O|refund from NE Publishing, advertising
RONALD A. RUFF FOR LEGISLATURE (DISSOLVED)|05CAC00748|07/20/2007|06/30/2006|100|O|The check was returned, City of No Platt
RONALD A. RUFF FOR LEGISLATURE (DISSOLVED)|05CAC00748|06/21/2006|05/26/2006|1500|O|GOLDENROD PRINTING OF LINCOLN NE
SORRENTINO FOR LEGISLATURE|05CAC00758|01/19/2006|10/05/2005|13.95|A|BANK CHARGE
SORRENTINO FOR LEGISLATURE|05CAC00758|10/27/2006|10/06/2006|493|A|refund liturgical publications
KENT ROGERT FOR LEGISLATURE|05CAC00760|01/11/2011|10/27/2010|-1905.94|A|adj. line 18 1st & 2nd General reports
KENT ROGERT FOR LEGISLATURE|05CAC00760|01/11/2011|10/26/2010|-100|A|return contribution dealer pac
KENT ROGERT FOR LEGISLATURE|05CAC00760|01/11/2011|10/26/2010|-1000|A|return contribution Financial Advisors
KENT ROGERT FOR LEGISLATURE|05CAC00760|10/25/2010|10/18/2010|-100|A|return to contribution toNe Dealer PAC
KENT ROGERT FOR LEGISLATURE|05CAC00760|10/25/2010|10/18/2010|-1000|A|ne association of Independent financial 
DAVID HAHN FOR GOVERNOR|05CAC00761|01/28/2008|12/31/2007|23.51|O|math error
DAVID HAHN FOR GOVERNOR|05CAC00761|01/28/2008|02/23/2007|155.25|O|refund from time warner cable
DAVID HAHN FOR GOVERNOR|05CAC00761|10/10/2006|08/24/2006|500|O|PAYMENT ON PLEDGE
DAVID HAHN FOR GOVERNOR|05CAC00761|04/10/2006|03/16/2006|5000|O|FROM DAVID HAHN
DAVID HAHN FOR GOVERNOR|05CAC00761|05/01/2006|04/24/2006|45000|O|PAID UNPAID PLEDGE 2005
DAVID HAHN FOR GOVERNOR|05CAC00761|04/10/2006|03/08/2006|100|A|RETURN OF DEPOSIT
DAVID HAHN FOR GOVERNOR|05CAC00761|04/10/2006|03/08/2006|10000|O|FROM DAVID HAHN
DAVID HAHN FOR GOVERNOR|05CAC00761|04/10/2006|03/02/2006|25000|O|FROM DAVID HAHN
DAVID HAHN FOR GOVERNOR|05CAC00761|04/10/2006|02/17/2006|10000|O|FROM DAVID HAHN
DAVID HAHN FOR GOVERNOR|05CAC00761|01/12/2007|12/12/2006|745.85|O|ADVERTISING REFUND FROM YORK NEWSTIMES
DAVID HAHN FOR GOVERNOR|05CAC00761|01/12/2007|11/28/2006|400|O|SALE OF YARDSIGN WICKETS TO CITIZENS FOR
DAVID HAHN FOR GOVERNOR|05CAC00761|01/12/2007|11/28/2006|350|O|APARTMENT DEPOSIT RETURN FROM CAPITOL SQ
DAVID HAHN FOR GOVERNOR|05CAC00761|01/12/2007|11/20/2006|2167.81|O|SALE OF VIDEO PRODUCTION EQUIPMENT TO R.
HANSEN FOR LEGISLATURE 42 (2010)|05CAC00763|06/19/2006|05/10/2006|100|A|REFUNDED DEPOSIT TO CITY OF NORTH PLATTE
HANSEN FOR LEGISLATURE 42 (2010)|05CAC00763|01/31/2006|10/18/2005|10.05|A|BANK CHARGE FOR CHECK PRINTING
HANSEN FOR LEGISLATURE 42 (2010)|05CAC00763|10/10/2006|09/01/2006|130|A|REFUNDED UNUSED ADVERTISING FROM HOAK
COMMUNITY FOR KIDS COMMITTEE|05BQC00118|01/31/2007|01/31/2007|12.42|O|Refund from Alltel
COMMUNITY FOR KIDS COMMITTEE|05BQC00118|01/31/2007|01/31/2007|165.55|A|Disbursement to CFLA in dissolution
FRIENDS FOR LYNNE ANDERSON (DISSOLVED)|05CAC00764|02/01/2005|10/07/2005|25|A|GIFT FOR OPENING BANK ACCOUNT
STOTHERT FOR LEGISLATURE (2006) (DISSOLVED)|06CAC00766|06/20/2006|05/08/2006|2532.72|A|RETURNED CONTRIBUTION MEDICAL PAC
STOTHERT FOR LEGISLATURE (2006) (DISSOLVED)|06CAC00766|10/11/2006|10/03/2006|500|A|DONATION REFUNDED TO KUTAK ROCK
JOHN N. HARMS FOR LEGISLATURE|06CAC00767|01/10/2007|12/29/2006|40|O|REFUND KCMI RADIO
JOHN N. HARMS FOR LEGISLATURE|06CAC00767|01/10/2007|12/20/2006|28.8|O|REFUND CHARTER COMMUNICATIONS
RUSS KARPISEK FOR LEGISLATURE- DISTRICT #32|06CAC00771|01/07/2011|12/31/2010|3|A|other misc inc 3.00refund from radio ad
NEBRASKANS FOR SHOEMAKER (DISSOLVED)|06CAC00772|05/07/2007|05/04/2007|-1.75|A|Bank Charges
NEBRASKANS FOR SHOEMAKER (DISSOLVED)|06CAC00772|05/07/2007|01/01/2007|293.6|A|damagedeposit return, overpayment return
STEVE HESPEN FOR SHERIFF COMMITTEE|06CAC00785|01/27/2017|12/31/2016|-98.85|A|balance to bank
SCHLOTHAUER FOR LEGISLATURE|06CAC00787|01/09/2007|12/27/2006|140|A|REFUND - SAGAMORE HILL BROADCASTING
SCHLOTHAUER FOR LEGISLATURE|06CAC00787|01/09/2007|12/26/2006|35|A|REFUND - PHNHADLE AREA PAPERS
SCHLOTHAUER FOR LEGISLATURE|06CAC00787|01/09/2007|12/11/2006|9.3|A|REFUND - CHARTER COMMUNICATIONS
COMMITTEE FOR STATE STEWARDSHIP|06BQC00139|10/31/2006|10/20/2006|-137.5|O|BANK DEPOSIT CORRECTION
COMMITTEE FOR STATE STEWARDSHIP|06BQC00139|10/31/2006|10/11/2006|137.5|O|BANK DEPOSIT ERROR
COMMITTEE FOR STATE STEWARDSHIP|06BQC00139|10/06/2006|09/27/2006|224.69|O|NABITY FINANCIAL GROUP REFUND FOR FURNTI
COMMITTEE FOR STATE STEWARDSHIP|06BQC00139|10/06/2006|09/18/2006|200|O|NE STATE FAIR BOARD TABLE AT GROUNDS
SVOBODA FOR MAYOR|06CAC00937|04/23/2007|04/11/2007|20|B|sent to friendship home
SVOBODA FOR MAYOR|06CAC00937|03/26/2007|03/09/2007|500|A|refund contribution hartland homes
SVOBODA FOR MAYOR|06CAC00937|02/02/2009|05/24/2008|868.95|A|Computing Extras-Sale of Equipment
SVOBODA FOR MAYOR|06CAC00937|02/02/2009|07/02/2007|6.89|A|Time Warner Cables-Refund of overpymt.
SVOBODA FOR MAYOR|06CAC00937|02/02/2009|08/20/2007|539.95|A|Niche Marketing-Refund of Postage
SVOBODA FOR MAYOR|06CAC00937|03/05/2007|02/09/2007|600|O|refund of contribution
SHELTON FOR GAGE COUNTY ATTORNEY (DISSOLVED)|06CAC00941|12/26/2006|12/01/2006|14.86|A|REFUND OF OVERPAYMENT FOR CAMPAIGN AD   
SHELTON FOR GAGE COUNTY ATTORNEY (DISSOLVED)|06CAC00941|12/26/2006|10/28/2006|50|A|REFUND OF $50.00 DEPOSIT FOR ODELL COMM.
SCUDDER FOR REGENT|07CAC01038|01/13/2009|12/31/2008|91.11|A|paypal fees
SCUDDER FOR REGENT|07CAC01038|06/23/2008|06/01/2008|42.26|A|paypal fees
RECALL FAHEY COMMITTEE (DISSOLVED)|08BQC00189|06/12/2008|04/03/2008|.22|O|Paypal depository acct. verification dep
RECALL FAHEY COMMITTEE (DISSOLVED)|08BQC00189|06/12/2008|04/03/2008|20|B|Cash donation to Siena/Francis House
RECALL FAHEY COMMITTEE (DISSOLVED)|08BQC00189|06/12/2008|04/24/2008|46.8|A|Balance of Petty cash fund transferred
COMMITTEE TO ELECT BRENDA COUNCIL|08CAC01106|01/24/2013|12/29/2012|1000|A|Found Check Equipment Dealers PAC
COMMITTEE TO ELECT BRENDA COUNCIL|08CAC01106|10/31/2012|10/22/2012|21428|A|Candidate Repayment of nonrelated campai
COMMITTEE TO ELECT BRENDA COUNCIL|08CAC01106|10/11/2012|10/01/2012|-26941.58|A|withdrawals, deposits noncampaign relate
HADLEY FOR LEGISLATURE |08CAC01111|01/23/2017|04/03/2016|1198|A|NOT LISTED
KINDIG FOR MAYOR|08CAC01182|10/06/2008|09/01/2008|1.4|A|beginng account balance
NEBRASKANS FOR TAX RELIEF & BETTER JOBS (DISSO|08BQC00206|01/13/2009|01/08/2009|1275|A|refund from time warner cable
NEBRASKANS FOR TAX RELIEF & BETTER JOBS (DISSO|08BQC00206|10/23/2008|10/01/2008|100|A|filing fee omitted
NEBRASKANS FOR TAX RELIEF & BETTER JOBS (DISSO|08BQC00206|01/13/2009|10/21/2008|-100|A|$100 NADC registration fee was omitted
COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D|06BQC00123|10/04/2006|10/03/2006|150|O|PHYSICAL ASSETS TRANSFERRED TO PRESIDENT
MIKE GLOOR FOR LEGISLATURE|07CAC01052|06/26/2012|05/19/2012|154.33|A|check to verizon recorded in 2011
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|12/19/2008|06/11/2007|31.5|O|Bank Charges
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|12/19/2008|06/10/2007|200|A|Jeff Weber
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|04/23/2007|04/11/2007|4.5|A|bank charge
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/28/2010|03/10/2009|54|O|Bank fees
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/28/2010|03/09/2009|250|A|adjustment from 2008
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|06/11/2007|05/17/2007|3.61|O|Paypal charge
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|06/11/2007|05/10/2007|7.5|A|Wells Fargo Bank Charge
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/25/2011|03/31/2010|13.5|O|Bank Fees
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/30/2009|12/01/2008|120.36|O|Ink for Printer/Stamps
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/30/2009|06/13/2008|70|O|Post Office Box
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/30/2009|04/15/2008|70.41|O|Order of Checks
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/30/2009|05/23/2008|250|O|Linda Watson-Administrative
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/30/2009|04/25/2008|54|O|Bank Charges
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/30/2009|04/24/2008|250|A|Political Contribution
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|03/26/2007|03/12/2007|4.5|A|wells fargo bank charge
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|04/23/2007|04/16/2007|76.9|O|paypal charge
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|03/05/2007|02/11/2007|4.5|A|bank charge
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|03/05/2007|01/11/2007|2|A|bank charge
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/30/2007|11/01/2006|60.5|O|David Dale Photography
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/30/2007|10/31/2006|39.94|A|Wells Fargo Bank Charge for Checks & Ban
JOHN SPATZ FOR CITY COUNCIL (DISSOLVED)|06CAC01009|01/30/2007|12/30/2006|100|O|Contribution from Alice M. Dittman
